2026-04-28 18:30:50.6517 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9H" completed keep alive response. 
2026-04-28 18:30:50.6978 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/index.js - 304 - - 45.4662ms 
2026-04-28 18:30:50.6978 | DEBUG | Microsoft.AspNetCore.Watch.BrowserRefresh.BrowserScriptMiddleware | Script injected: /_framework/aspnetcore-browser-refresh.js 
2026-04-28 18:30:50.6978 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9G" completed keep alive response. 
2026-04-28 18:30:50.6978 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/_framework/aspnetcore-browser-refresh.js - 200 14917 application/javascript;+charset=utf-8 87.0344ms 
2026-04-28 18:30:50.7037 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://localhost:5062/_vs/browserLink - - - 
2026-04-28 18:30:50.7209 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9C" completed keep alive response. 
2026-04-28 18:30:50.7209 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9F" completed keep alive response. 
2026-04-28 18:30:50.7209 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9D" completed keep alive response. 
2026-04-28 18:30:50.7209 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui-standalone-preset.js - 304 - - 116.5786ms 
2026-04-28 18:30:50.7209 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://localhost:5062/swagger/swagger-ui.css - 304 - - 121.8118ms 
2026-04-28 18:30:50.7209 | DEBUG | Microsoft.AspNetCore.Server.Kestrel.Connections | Connection id "0HNL57CGAKV9E" completed keep alive response. 
